name,state_or_region,category,start_date,end_date,notes,lat,lon
Bhogi & Makar Sankranti,"Across Telangana",Harvest Festival,2026-01-14,2026-01-15,"Major Telugu harvest festival celebrated with Bhogi bonfires, colorful Rangoli (Muggulu), kite flying, Haridasu songs, and festive feasts.",17.3850,78.4867
Kanuma,"Across Telangana",Harvest Festival,2026-01-16,2026-01-16,"Third day of Sankranti dedicated to honoring cattle, decorating bulls, and village sports.",17.3850,78.4867
International Kite & Sweet Festival,"Secunderabad, Telangana",Cultural Fair,2026-01-13,2026-01-15,"Global festival featuring international kite flyers, night kite flying, and traditional sweet stalls at Parade Ground.",17.4475,78.4980
Nagoba Jatara,"Keslapur, Adilabad, Telangana",Tribal Fair,2026-01-28,2026-02-01,"Famous Mesram clan Gond tribal festival featuring sacred snake rituals and traditional tribal music and dance.",19.6450,78.5300
Maha Shivaratri,"Across Telangana",Religious,2026-02-15,2026-02-16,"Major Shiva festival celebrated across all 33 Telangana districts with night-long vigils (Jagaram), fasting, and special Abhishekams.",17.3850,78.4867
Holy Month of Ramzan & Haleem Season,"Old City, Hyderabad & Across Telangana",Religious & Cultural,2026-02-18,2026-03-20,"Month-long sacred fasting period marked by vibrant night shopping bazaars around Charminar, midnight food walks, and world-famous Hyderabadi Haleem stalls.",17.3616,78.4747
Sammakka Saralamma Medaram Jatara,"Medaram, Mulugu, Telangana",Tribal Fair,2026-02-18,2026-02-21,"World's largest biennial tribal congregation, honoring mother-daughter tribal deities with offerings of jaggery (Bangaram).",18.2324,80.0827
Holi & Kamadahanam,"Across Telangana",Cultural,2026-03-03,2026-03-04,"Festival of Colors marking spring arrival, preceded by Kamadahanam bonfires, music, and community celebrations.",17.3850,78.4867
Ugadi (Telugu New Year),"Across Telangana",State Festival,2026-03-19,2026-03-19,"Telugu New Year celebrated with Ugadi Pachadi (six flavors of life), Panchanga Sravanam, and festive family meals.",17.3850,78.4867
Eid al-Fitr (Ramzan Eid),"Old City, Hyderabad & Across Telangana",Religious,2026-03-20,2026-03-21,"Grand Islamic festival celebrating the culmination of Ramzan fasting, with congregational prayers at Macca Masjid and festive culinary delights (Sheer Khurma).",17.3616,78.4747
Sri Rama Navami,"Bhadrachalam & Across Telangana",Religious,2026-03-27,2026-03-27,"Celebrates birth of Lord Rama and Sita Ramachandraswamy Kalyanam with royal splendor at Bhadrachalam and local temples.",17.6688,80.8935
Hanuman Jayanti,"Kondagattu & Across Telangana",Religious,2026-04-14,2026-04-16,"Birth celebration of Lord Hanuman, drawing lakhs of devotees wearing Hanuman Diksha robes to Kondagattu and local shrines.",18.7950,78.9100
Bonalu Festival,"Hyderabad & Secunderabad",State Festival,2026-07-12,2026-08-10,"Telangana state festival honoring Goddess Mahakali across Golconda, Secunderabad, and Old City with colorful processions (Pothuraju).",17.3616,78.4747
Varalakshmi Vratam,"Across Telangana",Religious,2026-08-28,2026-08-28,"Sacred auspicious puja performed by married women for well-being, prosperity, and family grace.",17.3850,78.4867
Vinayaka Chaturthi (Ganesh Chaturthi),"Khairatabad & Across Telangana",Religious,2026-09-14,2026-09-24,"Grand 11-day worship of Lord Ganesha featuring the famous giant Khairatabad idol and massive Hussain Sagar immersion procession.",17.4116,78.4619
Bathukamma,"Across Telangana",State Festival,2026-10-10,2026-10-18,"Telangana floral state festival celebrating nature and Goddess Gauri with unique multi-tiered flower stacks and folk songs.",17.3850,78.4867
Vijayadasami (Dasara),"Across Telangana",State Festival,2026-10-20,2026-10-20,"Victory of good over evil, celebrated with Jammi tree worship, Alai-Balai greetings, and vehicle pujas.",17.3850,78.4867
Atla Tadde,"Across Telangana",Cultural,2026-10-28,2026-10-28,"Traditional festival celebrated by Telugu women for marital bliss, featuring early morning Atlu (dosas), swings, and moonrise pujas.",17.3850,78.4867
Deepavali (Diwali) & Kedareswara Vratam,"Across Telangana",Religious,2026-11-08,2026-11-09,"Festival of Lights celebrated with clay lamps (diyas), fireworks, Lakshmi Puja, and Kedareswara Vratam.",17.3850,78.4867
Nagula Chavithi,"Across Telangana",Religious,2026-11-13,2026-11-13,"Traditional festival dedicated to Serpent God (Naga Devata) worship with milk, eggs, and sesame sweets at ant-hills (Putta).",17.3850,78.4867
Karthika Purnima & Jwala Toranam,"Across Telangana",Religious,2026-11-24,2026-11-24,"Auspicious full moon night celebrated with deepotsavam (floating oil lamps), temple lighting, and Jwala Toranam bonfires.",17.3850,78.4867
Subrahmanya Sashti,"Across Telangana",Religious,2026-12-14,2026-12-14,"Festival honoring Lord Subrahmanya (Murugan) with special temple pujas, kavadi offerings, and fasting.",17.3850,78.4867
Christmas & New Year Celebrations,"Across Telangana",Cultural,2026-12-24,2026-01-01,"Winter festive illuminations, midnight church services at St. Mary's Basilica Secunderabad, and citywide New Year events.",17.4399,78.4983
